CIIU4,Nombre de establecimiento
0,['PRESURIZADORA AGUA POTABLE SAN JOAQUIN']
Actividades de alojamiento para estancias cortas,"['CENTRO DE MONTAÑA CORRALCO' 'HOTEL RIO SERRANO'
 'HOTEL EXPLORA PATAGONIA' 'PUERTO BORIES SA']"
Actividades de apoyo a la agricultura,"['UNIFRUTTI PLANTA LINARES' 'AGROCOMERCIAL QUILLOTA S.A. (PROPAL)'
 'AGRICOLA Y PACKING CACHAPOAL S.A' 'UNIFRUTTI PLANTA TENO'
 'AGROINDUSTRIAL JAIME SOLER SA' 'AMS FAMILY S A'
 'RIO KING PLANTA RANCAGUA']"
Actividades de apoyo a la ganadería,"['PLANTA FAENADORA DE CARNES HN SAN CARLOS'
 'FAENADORA CISNE AUSTRAL LIMITADA']"
"Actividades de compra, venta, alquiler y explotación de bienes inmuebles propios o arrendados; desarrollo de proyectos de construcción para su posterior alquiler",['CONDOMINIO SILOS DE TOROBAYO' 'IFCO SYSTEMS CHILE S A']
Actividades de la administración pública en general,"['ILUSTRE MUNICIPALIDAD DE LAJA' 'ILUSTRE MUNICIPALIDAD DE HUALAIHUÉ'
 'ILUSTRE MUNICIPALIDAD DE LAUTARO']"
Actividades de mantenimiento del orden público y de seguridad,['ILUSTRE MUNICIPALIDAD DE PANQUEHUE']
Actividades de servicios vinculadas al transporte acuático,['FUNDACIÓN CHINQUIHUE']
Actividades poscosecha,"['PLANTA SUBSOLE ISLA DE MAIPO' 'UNIFRUTTI PLANTA REQUINOA'
 'CENTRAL FRUTICOLA CURICÓ' 'EMPACADORA DE PASAS DE EXPORTACION S A'
 'MULTIFRUTA S A  PLANTA LINDEROS' 'FRUTICOLA DOSAL LTDA' 'PLANTA BUIN'
 'AGROPEL' 'COMERCIAL RIOBLANCO PLANTA GRANEROS' 'PLANTA SUBSOLE HIJUELAS'
 'VALLES DE CHILE LTDA']"
Acuicultura de agua dulce,"['PISCICULTURA QUIMAN' 'PISCICULTURA COIPUE' 'PISCICULTURA AUCAR (100064)'
 'PISCICULTURA MOLCO' 'Centro Llallalca' 'PISCICULTURA LICAN'
 'PISCICULTURA MATANZA' 'PISCICULTURA RIO LAS MARCAS (100125)'
 'PISCICULTURA HUEYUSCA' 'Centro Pullinque' 'PISCICULTURA DOMEYKO'
 'PISCICULTURA CUINCO' 'PISCICULTURA CHAICAS' 'PISCICULTURA PANITAO'
 'PISCICULTURA LONCOTRARO' 'Centro Pichico' 'Centro Pucara'
 'PISCICULTURA CHAPARANO' 'PISCICULTURA PUERTO FONCK' 'PISCICULTURA STH'
 'PISCICULTURA PITREÑO' 'PISCICULTURA LA TABLILLA' 'RÍO DEL ESTE'
 'PISCICULTURA EL NEGRO' 'PISCICULTURA LIQUIÑE' 'PISCICULTURA EL CHILCO'
 'PISCICULTURA CHESQUE ALTO' 'PISCICULTURA MANANTIALES (110101)'
 'PISCICULTURA AGUA BUENA (100544)' 'PISCICULTURA QUETROLEUFU (90069)'
 'PISCICULTURA MELIPEUCO (90098)' 'PISCICULTURA COREO'
 'PISCICULTURA DE RECIRCULACION RÍO UNIÓN' 'PISCICULTURA ROLLIZO (100432)'
 'PISCICULTURA CATRIPULLI' 'PISCICULTURA CABURGA 1 (90060)'
 'PISCICULTURA HORNOPIREN'
 'ACUICOLA INMOBILIARIA E INVERSIONES FLOR DEL RIO LIMITADA'
 'PISCICULTURA LLAIMA CHERQUEN' 'RÍO DE LA PLATA' 'PISCICULTURA TRAFÚN'
 'PISCICULTURA QUIMEYCO' 'PISCICULTURA TRES HORQUETAS'
 'PISCICULTURA HUINCACARA' 'PISCICULTURA CONFLUENCIA'
 'PISCICULTURA CHEHUILCO' 'PISCICULTURA ESPERANZA'
 'PISCICULTURA CABURGA 2 (90089)' 'PISCICULTURA VALLE DEL LAJA'
 'NOVOFISH HUELMO' 'PISCICULTURA EXPERIMENTAL CITA'
 'PISCICULTURA KETRUN RAYEN' 'PISCICULTURA CURACALCO'
 'PISCICULTURA LAS VERTIENTES' 'PISCICULTURA CURARREHUE (90116)'
 'PISCICULTURA LOS TAMBORES' 'PISCICULTURA CATRIPULLI (90137)'
 'AGUAS BUENAS' 'PISCICULTURA LAS QUEMAS' 'PISCICULTURA PERAL'
 'PISCICULTURA EL CANELO' 'PISCICULTURA ALCALDEO' 'PISCICULTURA ASTILLERO'
 'PISCICULTURA RUPANQUITO' 'PISCICULTURA CURACO'
 'PISCICULTURA LOS CIPRESES' 'PISCICULTURA RIO NEGRO'
 'PISCICULTURA MOLINO DE ORO' 'PISCICULTURA LAGO VERDE (101850)'
 'PISCICULTURA SANTA JUANA' 'PISCICULTURA RAHUE' 'CENTRO TRAFUN'
 'PISCICULTURA PEDREGOSO (110192)' 'PISCICULTURA ENSENADA (100368)'
 'PISCICULTURA RIO MAULLIN (101937)'
 'PISCICULTURA RIO PESCADO RECIRCULACIÓN' 'PISCICULTURA COLLIN'
 'PISCICULTURA COMAU' 'PISCICULTURA LA CASCADA' 'PISCICULTURA LOS CHILCOS'
 'PISCICULTURA IGNAO' 'PISCICULTURA CALABOZO' 'CENTRO TRAINEL'
 'PISCICULTURA ESTERO SEN SEN' 'RÍO PETROHUE' 'POLCURA'
 'PISCICULTURA NILAHUE' 'PISCICULTURA ICULPE' 'CENTRO 1 RÍO CURILEUFU'
 'PISCICULTURA CHINQUIHUE' 'PISCICULTURA RIO CULULI'
 'PISCICULTURA HOLLEMBERG (120125)' 'PISCICULTURA CAMPAMENTO VIEJO'
 'PISCICULTURA PICHICOREO' 'PISCICULTURA EL PEUMO' 'PISCICULTURA COPIHUE'
 'PISCICULTURA LAS VERTIENTES DE CHAMIZA' 'PISCICULTURA SPRINGWATERS'
 'PISCICULTURA El Copihue' 'PISCICULTURA CHAQUEIHUA II'
 'PCC (SANTA JUANA 2)' 'PISCICULTURA RAUCO' 'PISCICULTURA LOS RIOS 90149'
 'PISCICULTURA PESCADERO' 'PISCICULTURA RIO BUENO' 'PISCICULTURA KUDIÑAM'
 'PISCICULTURA PARGUA (104372)' 'Centro Huite'
 'PISCICULTURA BELEN DEL SUR' 'SKRETTING ARC PARGUA'
 'PISCICULTURA LAS GARZAS' 'PISCICULTURA TIERRA DEL FUEGO'
 'PISCICULTURA WENUY' 'Piscicultura Los Canelos']"
