Región,Tipo de contaminate,count
Antofagasta,Aceites y Grasas,15
Antofagasta,Aluminio,15
Antofagasta,Arsénico,16
Antofagasta,Boro,6
Antofagasta,Cadmio,11
Antofagasta,Cianuro,10
Antofagasta,Cloruros,6
Antofagasta,Cobre,13
Antofagasta,Cromo Hexavalente,10
Antofagasta,Cromo Total,12
Antofagasta,Estaño,12
Antofagasta,Fluoruro,18
Antofagasta,Fósforo,12
Antofagasta,Hidrocarburos Fijos,2
Antofagasta,Hidrocarburos Totales,10
Antofagasta,Hidrocarburos Volatiles,10
Antofagasta,Hidrocarburos Volátiles,1
Antofagasta,Hierro Disuelto,12
Antofagasta,Indice Fenol,12
Antofagasta,Manganeso,16
Antofagasta,Mercurio,10
Antofagasta,Molibdeno,16
Antofagasta,Nitrógeno Total  Kjeldahl,11
Antofagasta,Níquel,11
Antofagasta,Plomo,10
Antofagasta,SAAM,14
Antofagasta,Sulfato,6
Antofagasta,Sulfuro,13
Antofagasta,Sólidos Suspendidos Totales,25
Antofagasta,Triclorometano,1
Antofagasta,Zinc,17
Araucanía,Aceites y Grasas,62
Araucanía,Aluminio,39
Araucanía,Arsénico,37
Araucanía,Benceno,3
Araucanía,Boro,30
Araucanía,Cadmio,36
Araucanía,Cianuro,35
Araucanía,Cloruros,49
Araucanía,Cobre,36
Araucanía,Cromo Hexavalente,35
Araucanía,Cromo Total,7
Araucanía,Estaño,6
Araucanía,Fluoruro,37
Araucanía,Fósforo,54
Araucanía,Hidrocarburos Fijos,29
Araucanía,Hidrocarburos Totales,6
Araucanía,Hidrocarburos Volatiles,2
Araucanía,Hierro,1
Araucanía,Hierro Disuelto,40
Araucanía,Indice Fenol,32
Araucanía,Manganeso,37
Araucanía,Mercurio,35
Araucanía,Molibdeno,36
Araucanía,N-Nitrato + N-Nitrito,5
Araucanía,Nitrógeno Total  Kjeldahl,52
Araucanía,Níquel,35
Araucanía,Pentaclorofenol,29
Araucanía,Plomo,35
Araucanía,SAAM,8
Araucanía,Sulfato,40
Araucanía,Sulfuro,36
Araucanía,Sólidos Suspendidos Totales,54
Araucanía,Tetracloroeteno,29
Araucanía,Tolueno,29
Araucanía,Triclorometano,31
Araucanía,Xileno,28
Araucanía,Zinc,37
Arica y Parinacota,Aceites y Grasas,3
Arica y Parinacota,Aluminio,3
Arica y Parinacota,Arsénico,3
Arica y Parinacota,Cadmio,3
Arica y Parinacota,Cianuro,3
Arica y Parinacota,Cobre,3
Arica y Parinacota,Cromo Hexavalente,3
Arica y Parinacota,Cromo Total,3
Arica y Parinacota,Estaño,3
Arica y Parinacota,Fluoruro,3
Arica y Parinacota,Hidrocarburos Fijos,1
Arica y Parinacota,Hidrocarburos Totales,2
Arica y Parinacota,Hidrocarburos Volatiles,2
Arica y Parinacota,Indice Fenol,3
Arica y Parinacota,Manganeso,3
Arica y Parinacota,Mercurio,3
Arica y Parinacota,Molibdeno,3
Arica y Parinacota,Níquel,3
Arica y Parinacota,Plomo,3
Arica y Parinacota,SAAM,3
Arica y Parinacota,Sulfuro,3
Arica y Parinacota,Sólidos Suspendidos Totales,3
Arica y Parinacota,Zinc,3
Atacama,Aceites y Grasas,18
Atacama,Aluminio,8
Atacama,Arsénico,9
Atacama,Boro,5
Atacama,Cadmio,7
Atacama,Cianuro,4
Atacama,Cloruros,4
Atacama,Cobre,10
Atacama,Cromo Hexavalente,6
Atacama,Cromo Total,10
Atacama,Estaño,5
Atacama,Fluoruro,13
Atacama,Fósforo,8
Atacama,Hidrocarburos Fijos,5
Atacama,Hidrocarburos Totales,8
Atacama,Hidrocarburos Volatiles,6
Atacama,Hierro Disuelto,10
Atacama,Indice Fenol,5
Atacama,Manganeso,9
Atacama,Mercurio,6
Atacama,Molibdeno,5
Atacama,Nitrógeno Amoniacal,1
Atacama,Nitrógeno Total  Kjeldahl,11
Atacama,Níquel,11
Atacama,Pentaclorofenol,1
Atacama,Plomo,7
Atacama,SAAM,14
Atacama,Sulfato,4
Atacama,Sulfuro,8
Atacama,Sólidos Suspendidos Totales,18
Atacama,Tetracloroeteno,1
Atacama,Tolueno,1
Atacama,Triclorometano,1
Atacama,Xileno,1
Atacama,Zinc,11
Aysén del Gral. Carlos Ibañez del Campo,Aceites y Grasas,14
Aysén del Gral. Carlos Ibañez del Campo,Aluminio,7
Aysén del Gral. Carlos Ibañez del Campo,Arsénico,6
Aysén del Gral. Carlos Ibañez del Campo,Boro,3
Aysén del Gral. Carlos Ibañez del Campo,Cadmio,6
Aysén del Gral. Carlos Ibañez del Campo,Cianuro,5
Aysén del Gral. Carlos Ibañez del Campo,Cloruros,8
Aysén del Gral. Carlos Ibañez del Campo,Cobre,7
Aysén del Gral. Carlos Ibañez del Campo,Cromo Hexavalente,6
Aysén del Gral. Carlos Ibañez del Campo,Cromo Total,2
Aysén del Gral. Carlos Ibañez del Campo,Estaño,2
Aysén del Gral. Carlos Ibañez del Campo,Fluoruro,6
Aysén del Gral. Carlos Ibañez del Campo,Fósforo,12
Aysén del Gral. Carlos Ibañez del Campo,Hidrocarburos Fijos,4
Aysén del Gral. Carlos Ibañez del Campo,Hidrocarburos Totales,4
Aysén del Gral. Carlos Ibañez del Campo,Hidrocarburos Volatiles,3
Aysén del Gral. Carlos Ibañez del Campo,Hierro,1
Aysén del Gral. Carlos Ibañez del Campo,Hierro Disuelto,7
Aysén del Gral. Carlos Ibañez del Campo,Indice Fenol,4
Aysén del Gral. Carlos Ibañez del Campo,Manganeso,6
Aysén del Gral. Carlos Ibañez del Campo,Mercurio,5
Aysén del Gral. Carlos Ibañez del Campo,Molibdeno,5
Aysén del Gral. Carlos Ibañez del Campo,Nitrógeno Total  Kjeldahl,11
Aysén del Gral. Carlos Ibañez del Campo,Níquel,4
Aysén del Gral. Carlos Ibañez del Campo,Pentaclorofenol,2
Aysén del Gral. Carlos Ibañez del Campo,Plomo,7
Aysén del Gral. Carlos Ibañez del Campo,SAAM,6
Aysén del Gral. Carlos Ibañez del Campo,Sulfato,7
Aysén del Gral. Carlos Ibañez del Campo,Sulfuro,8
Aysén del Gral. Carlos Ibañez del Campo,Sólidos Suspendidos Totales,16
Aysén del Gral. Carlos Ibañez del Campo,Tetracloroeteno,3
Aysén del Gral. Carlos Ibañez del Campo,Tolueno,3
Aysén del Gral. Carlos Ibañez del Campo,Triclorometano,2
Aysén del Gral. Carlos Ibañez del Campo,Xileno,2
Aysén del Gral. Carlos Ibañez del Campo,Zinc,11
Biobío,Aceites y Grasas,55
Biobío,Aluminio,51
Biobío,Arsénico,42
Biobío,Benceno,1
Biobío,Boro,26
Biobío,Cadmio,36
Biobío,Cianuro,36
Biobío,Cloruros,30
Biobío,Cobre,46
Biobío,Cromo Hexavalente,35
Biobío,Cromo Total,22
Biobío,Estaño,21
Biobío,Fluoruro,45
Biobío,Fósforo,38
Biobío,Hidrocarburos Fijos,24
Biobío,Hidrocarburos Totales,19
Biobío,Hidrocarburos Volatiles,17
Biobío,Hierro,1
Biobío,Hierro Disuelto,35
Biobío,Indice Fenol,42
Biobío,Manganeso,47
Biobío,Mercurio,35
Biobío,Molibdeno,37
Biobío,N-Nitrato + N-Nitrito,3
Biobío,Nitrógeno Amoniacal,2
Biobío,Nitrógeno Total  Kjeldahl,36
Biobío,Níquel,37
Biobío,Pentaclorofenol,19
Biobío,Plomo,37
Biobío,SAAM,28
Biobío,Sulfato,29
Biobío,Sulfuro,39
Biobío,Sólidos Suspendidos Totales,61
Biobío,Tetracloroeteno,21
Biobío,Tolueno,19
Biobío,Triclorometano,20
Biobío,Xileno,19
Biobío,Zinc,48
Coquimbo,Aceites y Grasas,31
Coquimbo,Aluminio,9
Coquimbo,Arsénico,9
Coquimbo,Boro,6
Coquimbo,Cadmio,9
Coquimbo,Cianuro,8
Coquimbo,Cloruros,5
Coquimbo,Cobre,18
Coquimbo,Cromo Hexavalente,8
Coquimbo,Cromo Total,9
Coquimbo,Estaño,2
Coquimbo,Fluoruro,7
Coquimbo,Fósforo,25
Coquimbo,Hidrocarburos Fijos,6
Coquimbo,Hidrocarburos Totales,6
Coquimbo,Hidrocarburos Volatiles,3
Coquimbo,Hidrocarburos Volátiles,4
Coquimbo,Hierro Disuelto,3
Coquimbo,Indice Fenol,5
Coquimbo,Manganeso,4
Coquimbo,Mercurio,8
Coquimbo,Molibdeno,4
Coquimbo,Nitrógeno Total  Kjeldahl,10
Coquimbo,Níquel,8
Coquimbo,Pentaclorofenol,2
Coquimbo,Plomo,8
Coquimbo,SAAM,6
Coquimbo,Sulfato,6
Coquimbo,Sulfuro,9
Coquimbo,Sólidos Suspendidos Totales,32
Coquimbo,Tetracloroeteno,3
Coquimbo,Tolueno,2
Coquimbo,Triclorometano,3
Coquimbo,Xileno,2
Coquimbo,Zinc,11
Libertador Gral. Bernardo O'Higgins,Aceites y Grasas,35
Libertador Gral. Bernardo O'Higgins,Aluminio,23
Libertador Gral. Bernardo O'Higgins,Arsénico,23
Libertador Gral. Bernardo O'Higgins,Benceno,1
Libertador Gral. Bernardo O'Higgins,Boro,24
Libertador Gral. Bernardo O'Higgins,Cadmio,23
Libertador Gral. Bernardo O'Higgins,Cianuro,23
Libertador Gral. Bernardo O'Higgins,Cloruros,23
Libertador Gral. Bernardo O'Higgins,Cobre,23
Libertador Gral. Bernardo O'Higgins,Cromo Hexavalente,23
Libertador Gral. Bernardo O'Higgins,Cromo Total,1
Libertador Gral. Bernardo O'Higgins,Fluoruro,23
Libertador Gral. Bernardo O'Higgins,Fósforo,34
Libertador Gral. Bernardo O'Higgins,Hidrocarburos Fijos,25
Libertador Gral. Bernardo O'Higgins,Hidrocarburos Totales,1
Libertador Gral. Bernardo O'Higgins,Hierro Disuelto,23
Libertador Gral. Bernardo O'Higgins,Indice Fenol,24
Libertador Gral. Bernardo O'Higgins,Manganeso,23
Libertador Gral. Bernardo O'Higgins,Mercurio,23
Libertador Gral. Bernardo O'Higgins,Molibdeno,23
Libertador Gral. Bernardo O'Higgins,N-Nitrato + N-Nitrito,1
Libertador Gral. Bernardo O'Higgins,Nitrógeno Amoniacal,1
Libertador Gral. Bernardo O'Higgins,Nitrógeno Total  Kjeldahl,35
Libertador Gral. Bernardo O'Higgins,Níquel,23
Libertador Gral. Bernardo O'Higgins,Pentaclorofenol,23
Libertador Gral. Bernardo O'Higgins,Plomo,23
Libertador Gral. Bernardo O'Higgins,Sulfato,23
Libertador Gral. Bernardo O'Higgins,Sulfuro,23
Libertador Gral. Bernardo O'Higgins,Sólidos Suspendidos Totales,35
Libertador Gral. Bernardo O'Higgins,Tetracloroeteno,24
Libertador Gral. Bernardo O'Higgins,Tolueno,23
Libertador Gral. Bernardo O'Higgins,Triclorometano,27
Libertador Gral. Bernardo O'Higgins,Xileno,23
Libertador Gral. Bernardo O'Higgins,Zinc,23
Los Lagos,Aceites y Grasas,149
Los Lagos,Aluminio,95
Los Lagos,Arsénico,69
Los Lagos,Boro,56
Los Lagos,Bromodiclorometano,2
Los Lagos,Cadmio,72
Los Lagos,Cianuro,63
Los Lagos,Cloruros,78
Los Lagos,Cobre,84
Los Lagos,Cromo Hexavalente,64
Los Lagos,Cromo Total,26
Los Lagos,Estaño,27
Los Lagos,Fluoruro,74
Los Lagos,Fósforo,105
Los Lagos,Hidrocarburos Fijos,49
Los Lagos,Hidrocarburos Totales,25
Los Lagos,Hidrocarburos Volatiles,26
Los Lagos,Hierro,4
Los Lagos,Hierro Disuelto,71
Los Lagos,Indice Fenol,79
Los Lagos,Manganeso,86
Los Lagos,Mercurio,66
Los Lagos,Molibdeno,71
Los Lagos,N-Nitrato + N-Nitrito,3
Los Lagos,Nitrógeno Amoniacal,4
Los Lagos,Nitrógeno Total  Kjeldahl,110
Los Lagos,Níquel,64
Los Lagos,Pentaclorofenol,53
Los Lagos,Plomo,67
Los Lagos,SAAM,74
Los Lagos,Sulfato,68
Los Lagos,Sulfuro,74
Los Lagos,Sólidos Suspendidos Totales,147
Los Lagos,Tetracloroeteno,52
Los Lagos,Tolueno,38
Los Lagos,Triclorometano,54
Los Lagos,Xileno,38
Los Lagos,Zinc,93
Los Ríos,Aceites y Grasas,62
Los Ríos,Aluminio,35
Los Ríos,Arsénico,31
Los Ríos,Benceno,2
Los Ríos,Boro,27
Los Ríos,Cadmio,31
Los Ríos,Cianuro,30
Los Ríos,Cloruros,31
Los Ríos,Cobre,33
Los Ríos,Cromo Hexavalente,29
Los Ríos,Cromo Total,7
Los Ríos,Estaño,5
Los Ríos,Fluoruro,29
Los Ríos,Fósforo,58
Los Ríos,Hidrocarburos Fijos,25
Los Ríos,Hidrocarburos Totales,8
Los Ríos,Hidrocarburos Volatiles,2
Los Ríos,Hidrocarburos Volátiles,3
Los Ríos,Hierro,2
Los Ríos,Hierro Disuelto,35
Los Ríos,Indice Fenol,30
Los Ríos,Manganeso,32
Los Ríos,Mercurio,30
Los Ríos,Molibdeno,28
Los Ríos,N-Nitrato + N-Nitrito,2
Los Ríos,Nitrógeno Total  Kjeldahl,37
Los Ríos,Níquel,30
Los Ríos,Pentaclorofenol,24
Los Ríos,Plomo,30
Los Ríos,SAAM,8
Los Ríos,Sulfato,33
Los Ríos,Sulfuro,32
Los Ríos,Sólidos Suspendidos Totales,60
Los Ríos,Tetracloroeteno,25
Los Ríos,Tolueno,25
Los Ríos,Triclorometano,24
Los Ríos,Xileno,23
Los Ríos,Zinc,34
Magallanes y de la Antártica Chilena,Aceites y Grasas,17
Magallanes y de la Antártica Chilena,Aluminio,15
Magallanes y de la Antártica Chilena,Arsénico,12
Magallanes y de la Antártica Chilena,Boro,5
Magallanes y de la Antártica Chilena,Cadmio,13
Magallanes y de la Antártica Chilena,Cianuro,10
Magallanes y de la Antártica Chilena,Cloruros,8
Magallanes y de la Antártica Chilena,Cobre,12
Magallanes y de la Antártica Chilena,Cromo Hexavalente,10
